LSOA,Person,Bicycle,Car,Motorcycle,Airplane,Bus,Train,Truck,Boat,Traffic Light,Fire Hydrant,Stop Sign,Parking Meter,Bench,Bird,Cat,Dog,Horse,Sheep,Cow,Elephant,Bear,Zebra,Giraffe,Backpack,Umbrella,Handbag,Tie,Suitcase,Frisbee,Skis,Snowboard,Sports Ball,Kite,Baseball Bat,Baseball Glove,Skateboard,Surfboard,Tennis Racket,Bottle,Wine Glass,Cup,Fork,Knife,Spoon,Bowl,Banana,Apple,Sandwich,Orange,Broccoli,Carrot,Hot dog,Pizza,Donut,Cake,Chair,Couch,Potted Plant,Bed,Dinning Table,Toilet,TV,Laptop,Mouse,Remote,Keyboard,Cell Phone,Microwave,Oven,Toaster,Sink,Refrigerator,Book,Clock,Vase,Scissors,Teddy Bear,Hair Drier,Toothbrush,Number Images
E01002772,2.4,0.12,14.0,0.16,0,0.32,0,0.6,0,0.16,0,0,0,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.04,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
E01001696,3.269230769230769,0.07692307692307693,5.846153846153846,0.11538461538461539,0,0.46153846153846156,0,0.2692307692307692,0.038461538461538464,0.2692307692307692,0,0,0.038461538461538464,0,0,0,0,0,0,0,0,0,0,0,0.15384615384615385,0,0.07692307692307693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0,0,0,0,0,104
E01000956,2.9166666666666665,0.4166666666666667,7.5,0.041666666666666664,0,0.5416666666666666,0,0.5,0,0.16666666666666666,0,0.041666666666666664,0,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0.125,0,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666666666666664,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
E01032742,1.037037037037037,0.07407407407407407,11.851851851851851,0,0,0.07407407407407407,0,0.4074074074074074,0,0,0,0.037037037037037035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037037037035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037037037035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07407407407407407,0,0,0,0,0,108
E01000298,1.0,0.07692307692307693,15.333333333333334,0.1282051282051282,0,0,0,0.717948717948718,0,0.05128205128205128,0,0,0,0.05128205128205128,0,0,0,0,0,0,0,0,0,0,0,0,0.05128205128205128,0,0,0,0,0,0,0.02564102564102564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4358974358974359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156
E01001447,0.9333333333333333,0.06666666666666667,13.2,0.03333333333333333,0,0.03333333333333333,0,0.5666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
E01002636,0.4,0,15.15,0.05,0.05,0.05,0,0.75,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
E01004233,0.5714285714285714,0.07142857142857142,7.571428571428571,0,0,0,0,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07142857142857142,0,0,0,0,0,56
E01001491,0.4117647058823529,0,14.176470588235293,0,0,0.029411764705882353,0,0.9411764705882353,0,0.08823529411764706,0,0,0.029411764705882353,0.08823529411764706,0,0,0,0,0,0,0,0,0,0,0.029411764705882353,0,0,0,0,0.058823529411764705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14705882352941177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136
E01000914,5.859154929577465,0.5211267605633803,5.605633802816901,0.18309859154929578,0,0.5070422535211268,0.014084507042253521,0.971830985915493,0,0.22535211267605634,0,0.028169014084507043,0,0.028169014084507043,0,0,0.014084507042253521,0,0,0,0,0,0,0,0.16901408450704225,0,0.19718309859154928,0,0.04225352112676056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056338028169014086,0,0.4647887323943662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07042253521126761,0,0,0,0,0,284
E01004608,1.0303030303030303,0.30303030303030304,7.848484848484849,0.48484848484848486,0.030303030303030304,0.12121212121212122,0,0.6666666666666666,0,0,0,0.030303030303030304,0,0.030303030303030304,0,0,0,0,0,0,0,0,0,0,0.030303030303030304,0.030303030303030304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15151515151515152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15151515151515152,0,0,0,0,0,132
E01000885,0.23076923076923078,0.02564102564102564,6.743589743589744,0.1282051282051282,0,0.05128205128205128,0.02564102564102564,0.3076923076923077,0,0,0,0,0,0.05128205128205128,0,0,0,0,0,0,0,0,0,0,0.02564102564102564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1794871794871795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20512820512820512,0,0,0,0,0,156
E01000848,1.096774193548387,0.12903225806451613,16.870967741935484,0.12903225806451613,0,0.25806451612903225,0,0.7741935483870968,0.03225806451612903,0,0,0.03225806451612903,0,0.12903225806451613,0,0,0,0,0,0,0,0,0,0,0.06451612903225806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0967741935483871,0,0.3548387096774194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124
E01002182,0.7777777777777778,0.037037037037037035,13.296296296296296,0.037037037037037035,0,0.037037037037037035,0,0.3333333333333333,0,0.037037037037037035,0,0,0,0.037037037037037035,0.037037037037037035,0,0,0,0,0,0,0,0,0,0.037037037037037035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037037037035,0,0.5925925925925926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037037037035,0,0,0,0,0,108
E01000142,0.7419354838709677,0,13.419354838709678,0.03225806451612903,0,0.03225806451612903,0,0.41935483870967744,0,0,0,0,0,0.03225806451612903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0967741935483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124
E01002897,1.5833333333333333,0.2916666666666667,12.708333333333334,0.16666666666666666,0,0.08333333333333333,0,0.5833333333333334,0,0,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
E01004238,0.625,0.041666666666666664,8.75,0,0,0,0,0.25,0,0,0,0.125,0,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0.041666666666666664,0,0,0,0,0,0,0,0.041666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666666666666664,0,0,0,0,0,96
E01002744,0.9615384615384616,0.07692307692307693,9.884615384615385,0.07692307692307693,0,0,0.038461538461538464,0.2692307692307692,0,0,0,0,0,0.11538461538461539,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538461538464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538461538464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0,0,0,0,0,104
E01000503,0.4482758620689655,0,13.068965517241379,0.06896551724137931,0,0.06896551724137931,0,0.6206896551724138,0.10344827586206896,0,0,0.034482758620689655,0,0.06896551724137931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5172413793103449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
